"drug","patient_count"
"Methylphenidate","2"
"ranolazine","2"
"Dipyridamole-Aspirin","2"
"Iron Dextran Complex","2"
"Methylprednisolone Na Succ","2"
"Iron Dextran (Test Dose)","2"
"LOPERamide Suspension","2"
"Epoprostenol","2"
"Potassium Chl 20 mEq / 1000 mL D5W","2"
"PEMEtrexed (Pemfexy)","2"
"Lithium Oral Solution","2"
"Viaflex Bag","2"
"Penicillin V Potassium","2"
"Potassium Chl 40 mEq / 1000 mL D5W","2"
"benazepril","2"
"mult","2"
"GlyBURIDE","2"
"MetronidAZOLE Topical 1 % Gel","2"
"Syringe (NS)","2"
"Syringe (PCA)","2"
"ValGANCIclovir","2"
"DAPTOmycin","2"
"Erythromycin Ethylsuccinate Suspension","2"
"Miconazole Nitrate Vag Cream 2%","2"
"Paxil CR","1"
"PEMBROlizumab","1"
"Pentamidine-Inhalation","1"
"permethrin","1"
"Perphenazine","1"
"PhenAZOPYRIDine","1"
"PHENOba","1"
"Phenobar","1"
"PHENObarbital-ICU Alcohol Withdrawal (Loading Dose 1) (IM) (FOR CLINICIAN USE)","1"
"PHENObarbital -  ICU Alcohol Withdrawal (Loading dose 2 and 3) FOR PHARMACY USE ONLY","1"
"Docusate Sodiu","1"
"PHENObarbital - ICU Alcohol Withdrawal (Loading Dose 1) ","1"
"PHENObarbital - ICU Alcohol Withdrawal (Loading dose 2 and 3)","1"
"ipratropium bromide","1"
"2","1"
"VinCRIStine (Oncovin)","1"
"PHENYLEPHrine (for 50mg/5mL VIAL","1"
"PHENYLEPHrine (for dilution)","1"
"Phenylephrine 2.5 % Ophth Soln","1"
"docusate sodium","1"
"Phenytoin ","1"
"*NF* Bicalutamide","1"
"IPRATROPIUM-ALBUTEROL INHALATION SPRAY","1"
"ipr","1"
"Bivalirudin","1"
"Dofetilide","1"
"fludrocortisone","1"
"INV-OTL-38","1"
"pirfenidone","1"
"PNEUMOcocca","1"
"Viokase-8","1"
"INV-Hydrocortisone","1"
"INV-Ascorbic Acid","1"
"benzona","1"
"Flucytosine","1"
"Posaconazole Suspension","1"
"INV-Acetaminophen ","1"
"benzon","1"
"Insulin Reg Human (NovoLIN R)","1"
"fluconazole","1"
"Benzocaine-Menthol (Sore Throat Lozenge)","1"
"Insulin Pump (Self Administering Medication)","1"
"Insulin novolog","1"
"Belladonna & Opium (16.2/30mg)","1"
"balsalazide","1"
"dorzolamide","1"
"Doxepin HCl","1"
"Bacitracin-Polymyxin Ointment","1"
"Influen","1"
"InFLIXimab-abda (Renflexis)","1"
"azelastine","1"
"InFLIXimab","1"
"Indigotindisulfonate Sodium","1"
"predniSONE","1"
"Azathioprine","1"
"Incruse Ellipta","1"
"Prenatal Vitamins","1"
"Primaquine Phosphate","1"
"Flovent HFA","1"
"DOXOrubicin","1"
"aspirin","1"
"Pristiq","1"
"ProAir HFA","1"
"Ascorbic Acid (Liquid)","1"
"Prochlorperazine Maleate","1"
"Ibrutinib","1"
"Fleet Phospho-Soda","1"
"Artificial Saliva","1"
"ibrutinib","1"
"Droperidol","1"
"Hydroxyurea","1"
"Pseudoephedrine HCl","1"
"Hydroxypropyl Methylcellulose","1"
"dutasteride","1"
"HYDROmorphone ","1"
"Pyrazinamide","1"
"Pyridostigmine Bromide","1"
"Empagliflozin","1"
"Pyridoxine HCl","1"
"Pyrimethamine","1"
"Quetiapine extended-release","1"
"Hydrocortisone Na Succ","1"
"Aromasin","1"
"Emtricitabine","1"
"quiniDINE Gluconate E.R.","1"
"Qvar","1"
"Aripiprazole","1"
"arformoteroL 15 mcg/2 mL","1"
"arformoteroL","1"
"Hydrocodone-Acetaminophen (5mg-500mg","1"
"Fentanyl PCA","1"
"Rasagiline","1"
"Hydrocodone-Acetaminophen (5mg-325mg)","1"
"Arava","1"
"Remdesivir","1"
"Retevmo (selpercatinib)","1"
"Emtricitabine-Tenofovir alafen (200mg-25mg) *DESCOVY*","1"
"Volumen (Barium Sulfate 0.1% Suspension)","1"
"Emtricitabine Oral Solution","1"
"Hepatitis B Vaccine (20 mcg/mL)","1"
"RisperDAL Consta","1"
"Hepatitis A Vaccine","1"
"RisperiDONE (Disintegrating Tablet)","1"
"Risperidone Long Acting Injection","1"
"RisperiDONE Oral Solution","1"
"Heparin Flush Port (10 units/mL)","1"
"RITONAvir","1"
"riTUXimab-abbs (Truxima)","1"
"Aquapho","1"
"Heparin Flush PICC (100 units/ml)","1"
"roflumilast","1"
"Romiplostim","1"
"Fentora","1"
"Ropinirole HCl","1"
"Heparin Flush CRRT (5000 Units/mL)","1"
"Rosiglitazone Maleate","1"
"Anoro Ellipta 62.5/25","1"
"Sacubitril-Valsartan (97mg-103mg)","1"
"Anoro Ellipta (62.5mcg/25mcg)","1"
"Salsalate","1"
"0.54% Sodium Chloride","1"
"Liothyronine Sodium","1"
"senna","1"
"Heparin Flush (100 units/mL)","1"
"Anamorelin HCl","1"
"Wellbutrin XL","1"
"Sildenafil Citrate","1"
"Silver Nitrate Applicator","1"
"simethicone","1"
"Enoxaparin","1"
"Amphetamine-Dextroamphetamine XR","1"
"Feraheme","1"
"sodium bi","1"
"sodium bic","1"
"Sodium Bicarbonat 50mEq/50mL SYR","1"
"0.45 % Sodium Chloride","1"
"Sodium Bicarbonate 8.4% (Nephron)","1"
"sodium chloride","1"
"sodium chloride 0.9 % (flush)","1"
"Amino Acids 4.25% W/ Dextrose 5%","1"
"Amiloride HCl","1"
"Xopenex inhaler","1"
"ambrisentan","1"
"Epinephrine","1"
"Amantadine","1"
"Solution","1"
"Soma","1"
"Heparin ","1"
"Spiriva Respimat","1"
"Spiriva with HandiHaler","1"
"heparin","1"
"Alteplase 1mg/5mL ( Clearance ie. Indwelling port )","1"
"Haloperidol Decanoate","1"
"alfuzosin ER 10 mg ","1"
"Sulfacetamide-Prednisolone Ophth. Susp.","1"
"EPINEPHrine (for dilution)","1"
"Alecensa (alectinib)","1"
"Albuterol Sulfate (Extended Release)","1"
"halobetasol propionate","1"
"sulfamethoxazole-trimethoprim","1"
"Albuterol","1"
"SulfaSALAzine_","1"
"albutero","1"
"guaif","1"
"albuter","1"
"Albumin 5% (","1"
"Erlotinib","1"
"*NF* Levalbuterol Soln","1"
"Syringe (Intrapleural)","1"
"Esbriet (pirfenidone","1"
"Tabrecta (Capmatinib)","1"
"Gentamicin 0.1% Cream","1"
"Tacrolimus Suspension","1"
"tadalafil","1"
"tadalafil 20mg","1"
"Tagrisso (osimertinib)","1"
"Tagrisso (Osimertinib)","1"
"Gentamicin - Dosing by pharmacy","1"
"Esmolol in Saline (Iso-osm)","1"
"Tarceva (erlotinib)","1"
"Telavancin *NF*","1"
"Esomeprazole Magnesium","1"
"tenofovir alafenamide fumarate","1"
"Ganciclovir","1"
"Gamunex/GammaKED 10%","1"
"Terbinafine 1% Cream","1"
"tes","1"
"Tessalon ","1"
"Testosterone Cypionate","1"
"Theophylline (Oral Solution)","1"
"Albumin 25% ","1"
"Tiagabine","1"
"Estrogens Conjugated","1"
"zaleplon","1"
"Zidovudine","1"
"Ziextenzo","1"
"Tirofiban","1"
"Advair Diskus","1"
"tofacitinib ER (Xeljanz)","1"
"furose","1"
"Tolvaptan","1"
"Topotecan","1"
"acyclovir","1"
"Toviaz","1"
"fidaxomicin","1"
"Acular","1"
"Fosamprenavir","1"
"Trametinib *NF*","1"
"Trandolapril","1"
"travoprost","1"
"Fomepizole","1"
"Acetylcysteine ","1"
"Tretinoin 0.025% Cream","1"
"Etravirine","1"
"FoLIC ","1"
"Fluvoxamine Maleate","1"
"Triamterene-Hydrochlorothiazide (37.5/25)","1"
"Tropicamide 1 %","1"
"trospium","1"
"CycloSPORINE (Neoral) MODIFIED","1"
"Tucks Hemorrhoidal Oint 1%","1"
"umeclidinium-vilanteroL","1"
"CYCLOSPORINE 0.05% OPHTH EMULSION","1"
"CycloPHOSPHAMIDE","1"
"mannitol 20 %","1"
"mannitoL 20 %","1"
"ZIPRASidone Hydrochloride","1"
"Cyproheptadine","1"
"Cytarabine","1"
"Culturelle","1"
"Lumigan","1"
"MENINGOcoccal Conj Vaccine (Menactra)","1"
"Lubiprostone","1"
"Cromolyn Sodium (Nasal Inhalation)","1"
"Meropenem Graded Challenge","1"
"Mesalamine","1"
"loteprednol etabonate","1"
"Lotemax","1"
"Dabrafenib *NF*","1"
"CoVID-19 Vaccine per Pharmacy","1"
"Methadone (Concentrated Oral Solution) 10 mg/1 mL","1"
"Factor 8 recombinant","1"
"lorlatinib","1"
"MethIMAzole","1"
"Dakins 1/2 Strength","1"
"Dakins 1/4 Strength","1"
"Methotrexate Sodium P.F.","1"
"Methylene Blue","1"
"CoVID-19 Vaccine 1st Dose by Pharmacy","1"
"ZYRtec","1"
"Methylprednisolone","1"
"Dapagliflozin","1"
"MethylPREDNISolone Sod Succ ","1"
"Cosy","1"
"Coreg","1"
"loper","1"
"COQ10 200 mg liquid","1"
"metoprolol tartrate","1"
"CoQ10 (300mg)","1"
"Copper Chloride","1"
"Combigan","1"
"Metronidazole Gel 0.75%-Vaginal","1"
"metyrapone","1"
"Mexiletine","1"
"Miconazole Nitrate (Combo Pack)","1"
"Enoxapari","1"
"Decitabine","1"
"Midodrine 20mg","1"
"Acetylcystein","1"
"Demeclocycline","1"
"Milrinone Lactate","1"
"Desmopressin Nasal","1"
"Acetylcyste","1"
"Minoxidil","1"
"Miralax","1"
"Clonidine Patch 0.2 mg/24 hr","1"
"Misoprostol","1"
"Mitoxantrone","1"
"ClomiPRAMINE","1"
"Morphi","1"
"Morphin","1"
"Morphine","1"
"vancomycin","1"
"Morphine 0.2% Oral Rinse","1"
"Dexame","1"
"Morphine S","1"
"clofazimine (bulk)","1"
"Clobetasol Propionate 0.05% Ointment","1"
"Morphine Sulfate ","1"
"Clobetasol Propionate 0.05% Gel","1"
"Acetaminophen 325mg TAB","1"
"Clindamycin Phosphate","1"
"Dexamet","1"
"moxifloxacin","1"
"Clarithromycin","1"
"Dexameth","1"
"Multivitam","1"
"Multivitami","1"
"Multivitamin","1"
"Dexamethason","1"
"famotidine","1"
"Lidocaine 1% ","1"
"lidocaine","1"
"lido","1"
"Mycophenolate Mofetil Suspension","1"
"Myfortic","1"
"Dextrose 20% in Water (D20W)","1"
"Nafcillin Desensitization","1"
"Cimetidine","1"
"Naloxone HCl","1"
"Naltrexone","1"
"Namenda","1"
"Levobunolol 0.5%","1"
"nebivolol","1"
"Levobunolol 0.25%","1"
"Neulasta","1"
"diclofenac ","1"
"Vancomycin Antibiotic Lock","1"
"Niacinamide","1"
"NiCARdipine","1"
"diclofenac sodium","1"
"Chloroprocaine 2% MPF","1"
"Levetiracetam","1"
"Levalbuterol Tartrate","1"
"CELECOXIB","1"
"Fat Emulsion 20% (INTRAlipid)","1"
"levalbuterol tartrate","1"
"Levalbuterol","1"
"CefTRIAXone Desensitization","1"
"Nitroglycerin SR","1"
"Ceftolozane-Tazobactam","1"
"NORepinephri 8mg/250mL 250mL BAG","1"
"CefTAZidime-Avibactam (Avycaz)","1"
"letrozole","1"
"Acebutolol HCl","1"
"abacavir-dolutegravir-lamivud (Triumeq)","1"
"Vasopressin (for dilution)","1"
"Caspofungin *NF*","1"
"NS (Excel)","1"
"Ledipasvir/Sofosbuvir","1"
"Fluticasone-Salmeterol (100/50)","1"
"CARBOplatin Desensitization","1"
"Carbidopa-Levodopa CR (50-200)","1"
"Vemlidy","1"
"Nystatin-Triamcinolone Ointment","1"
"Carbidopa-Levodopa CR (25-100)","1"
"Lantus U-100 Insulin","1"
"Lanthanum","1"
"NYSTATIN ORAL SUSPENSION","1"
"Venetoclax","1"
"Digoxin Immune Fab","1"
"CarBAMazepine","1"
"Dilt","1"
"Fluphenazine","1"
"omeprazole magnesium","1"
"Lactic Acid 12% Lotion","1"
"diltiazem","1"
"Opium Tincture","1"
"Orabase w/ Benzocaine Paste","1"
"Lacosamide *NF*","1"
"LACOSamide - STAT Dose","1"
"Fluorouracil","1"
"Osimertinib (Tagrisso)","1"
"Osimertinib (TAGRISSO)","1"
"Lacosamide","1"
"Disopyramide CR","1"
"Ketorolac 0.5% Ophth Soln","1"
"Disopyramide Phosphate","1"
"oxyCODONE","1"
"OxyCODONE","1"
"Ketoconazole 2% ","1"
"Calcitriol Oral Solution *NF*","1"
"Oxycodone-Acetaminophen ","1"
"Calcipotriene 0.005% Cream","1"
"Ketoconazole","1"
"cabozantinib","1"
"Verapamil HCl","1"
"Buprenorphine-Naloxone (8mg-2mg)","1"
"Disulfiram","1"
"Bupivacaine 0.25%","1"
"Paclitaxel","1"
"Bupivacaine 0.125%","1"
"PALIperidone Palmitate","1"
"Kcentra*","1"
"Juluca","1"
"Isosorbide Dinitrate SA","1"
"Budesonide Nasal Inhaler","1"
"Divalproex Sodium","1"
"Papain 2.5 % Solution","1"
"Fluorometholone 0.1% Ophth Susp.","1"
"Brimonidine Tartrate 0.2% Ophth.","1"
"Isosorbide ","1"
