"drug","patient_count"
"0.54% Sodium Chloride","4"
"Tolvaptan","4"
"Methadone Inj","4"
"Methadone (Concentrated Oral Solution) 10 mg/1 mL","4"
"Heparin Flush PICC (100 units/ml)","4"
"Posaconazole","4"
"Bacitracin/Polymyxin B Sulfate Opht. Oint","4"
"CycloPHOSPHAMIDE","4"
"Mesna","4"
"Mesalamine (Rectal)","4"
"bimatoprost","4"
"Tagrisso","4"
"Cefepime Graded Challenge","4"
"PNEUMOcoccal 13-valent conjugate vaccine","4"
"Dakins 1/4 Strength","4"
"0.9% Sodium Chloride P.F. (Syringe)","4"
"CARBOplatin Desensitization","4"
"Moxifloxacin","4"
"Penicillin V Potassium","4"
"PEMEtrexed (Pemfexy)","4"
"Tobramycin Inhalation Soln","4"
"MedroxyPROGESTERone Acetate","4"
"PEMBROlizumab","4"
"Angiotensin II","4"
"ranolazine","4"
"Magnesium Sulfate Replacement (Critical Care and Oncology)","4"
"Lidocaine","4"
"capmatinib","4"
"IPRATROPIUM BROMIDE NEB","4"
"Fentanyl","4"
"Neulasta","4"
"Ivermectin","4"
"LevETIRAcetam - STAT Dose","4"
"RifAMPin","4"
"Orabase w/ Benzocaine Paste","4"
"Docusate","4"
"Docusate ","4"
"Liothyronine Sodium","4"
"Sacubitril-Valsartan (49mg-51mg)","4"
"Emtricitabine","4"
"Clotrimazole 1% Vaginal Cream","4"
"pramipexole","4"
"Aspirin (Buffered)","4"
"Prasugrel","4"
"Potassium Chl 40 mEq / 1000 mL D5W","4"
"Potassium Chl 20 mEq / 1000 mL D5W","4"
"CoVID-19 Vaccine per Pharmacy","4"
"Phentolamine Mesylate","3"
"23.4% Sodium Chloride","3"
"Acamprosate","3"
"Acarbose","3"
"Aerogen Syringe (NS)","3"
"Aerogen Syringe (SW)","3"
"albuterol sulfate","3"
"Alecensa","3"
"Arimidex","3"
"Avapro","3"
"Azathioprine","3"
"azelastine","3"
"benzona","3"
"Bortezomib","3"
"brimonidine","3"
"Bupivacaine 0.25%","3"
"Buprenorphine-Naloxone Film (4mg-1mg)","3"
"Buprenorphine-Naloxone Tablet (8mg-2mg)","3"
"Caffeine-Sodium Benzoate","3"
"Carbamazepine (Extended-Release)","3"
"Carbidopa-Levodopa (10-100)","3"
"carisoprodol","3"
"Caspofungin","3"
"Claritin","3"
"Clobazam","3"
"Clobetasol Propionate 0.05% Soln","3"
"CycloSPORINE (Sandimmune)","3"
"CYCLOSPORINE 0.05% OPHTH EMULSION","3"
"Cyproheptadine","3"
"DAPTOmycin","3"
"Dexamethasone Oral Soln (0.1mg/1mL)","3"
"Dofetilide","3"
"Erythromycin Ethylsuccinate Suspension","3"
"Estradiol","3"
"Etravirine","3"
"Fat Emulsion 20% (INTRAlipid)","3"
"Fleet Phospho-Soda","3"
"Fluocinonide 0.05% Ointment","3"
"Fluorometholone 0.1% Ophth Susp.","3"
"Fluphenazine","3"
"Gentamicin 0.1% Cream","3"
"glimepiride","3"
"Incruse Ellipta","3"
"Insulin Glargine  (CVICU Protocol)","3"
"Iron Dextran (Test Dose)","3"
"Iron Dextran Complex","3"
"Isosorbide","3"
"Ketoconazole","3"
"Lactic Acid 12% Lotion","3"
"letrozole","3"
"Levobunolol 0.5%","3"
"Lidocai","3"
"Lidocaine 1% P.f.","3"
"LOPERamide Suspension","3"
"melatonin","3"
"MENINGOcoccal Conj Vaccine (Menactra)","3"
"MethIMAzole","3"
"Methotrexate Sodium P.F.","3"
"Miconazole Nitrate Vag Cream 2%","3"
"Minoxidil","3"
"Morphine","3"
"moxifloxacin","3"
"Multivitamins W/minerals Liquid","3"
"N-Acetylcysteine","3"
"Nabumetone","3"
"Naloxone HCl","3"
"NORepinephrine (in NS)","3"
"Norepinephrine Bitartrate","3"
"PhenAZOPYRIDine","3"
"Phoxillum (B22 K4)","3"
"Pilocarpine 4%","3"
"pirfenidone","3"
"Pulmicort","3"
"Pyridostigmine Bromide","3"
"Pyridoxine HCl","3"
"Quetiapine extended-release","3"
"Quinine Sulfate","3"
"Repaglinide","3"
"Restasis","3"
"RISperidone","3"
"RisperiDONE Oral Solution","3"
"Sacubitril-Valsartan (97mg-103mg)","3"
"Sodium Acetate","3"
"SulfaSALAzine DR","3"
"Syringe (Inhalation)","3"
"Thiothixene","3"
"Tobramycin-Dexamethasone Ophth Susp","3"
"Topotecan","3"
"Tretinoin 0.025% Cream","3"
"Triamcinolone Acetonide 0.025% Ointment","3"
"TRIAzolam","3"
"Tuberculin PPD","3"
"umeclidinium-vilanterol","3"
"ValGANCIclovir","3"
"Vancomycin Antibiotic Lock","3"
"Volumen (Barium Sulfate 0.1% Suspension)","3"
"ZIPRASidone Hydrochloride","3"
"Lidocaine 1% ","2"
"Mercaptopurine","2"
"tacrolimus","2"
"Ranexa","2"
"Carbamazepine XR","2"
"Dakins 1/2 Strength","2"
"OXALIplatin","2"
"Evista","2"
"Heparin Flush (5000 Units/mL)","2"
"pilocarpine HCl","2"
"Pindolol","2"
"halobetasol propionate","2"
"Pioglitazone HCl","2"
"Talc (Sterile) + Lidocaine 1%","2"
"Mirapex","2"
"diltiazem","2"
"Gammagard Liquid","2"
"Rifabutin","2"
"Calcipotriene 0.005% Cream","2"
"Haemophilus B Conj. Vaccine","2"
"Pletal","2"
"Nimodipine","2"
"tenofovir alafenamide fumarate","2"
"Mitoxantrone","2"
"fluconazole","2"
"Hydrocortisone Oint 2.5%","2"
"modafinil","2"
"5% Dextrose (Non DEPH)","2"
"RisperiDONE (Disintegrating Tablet)","2"
"Hydrocortisone Oint 1%","2"
"Esmolol in Saline (Iso-osm)","2"
"Buprenorphine-Naloxone Film (2mg-0.5mg)","2"
"RITONAvir","2"
"Polymyxin B -Trimethoprim Ophth Soln","2"
"Filgrastim (Neupogen)","2"
"Tetracycline","2"
"Porfimer Sodium","2"
"Diclofenac Sodium DR","2"
"Cyclophosphamide","2"
"Anamorelin","2"
"amlodipine-benazepril","2"
"rivastigmine","2"
"Posaconazole Suspension","2"
"Thrombin","2"
"Amitriptyline HCl","2"
"diclofenac sodium","2"
"Fidaxomicin","2"
"Heparin (via Anti-Xa Monitoring)","2"
"lovastatin","2"
"Romiplostim","2"
"RomiPLOstim","2"
"Amiloride HCl","2"
"tiotropium bromide","2"
"Dextrose 5%  (*Glass Bottle*)","2"
"Crizotinib","2"
"Mycophenolate Sodium DR","2"
"Epoprostenol","2"
"Acebutolol HCl","2"
"Tobramycin - Dosing by pharmacy","2"
"Acebutolol","2"
"Glucose Tab","2"
"Amantadine Syrup","2"
"PALIperidone Palmitate","2"
"Epinephrine","2"
"Palonosetron","2"
"Alvimopan","2"
"Alteplase 1mg/5mL ( Clearance ie. Indwelling port )","2"
"Heparin (Impella)","2"
"NS (Excel)","2"
"Metronidazole Gel 0.75%-Vaginal","2"
"Combigan","2"
"Salsalate","2"
"Pangestyme-EC","2"
"Heparin (IABP)","2"
"Feraheme","2"
"Fosamprenavir","2"
"trametinib","2"
"Clonidine Patch 0.2 mg/24 hr","2"
"ClomiPRAMINE","2"
"Trandolapril","2"
"Morphine 0.2% Oral Rinse","2"
"LORazepam Oral Solution","2"
"Travatan Z","2"
"brinzolamide","2"
"Emend","2"
"Travoprost","2"
"Mexiletine","2"
"Dexamet","2"
"sevelamer HYDROCHLORIDE","2"
"Fentora","2"
"Lithium Oral Solution","2"
"Imipramine","2"
"Miconazole Nitrate (Combo Pack)","2"
"Dexam","2"
"Bivalirudin","2"
"Bisoprolol Fumarate","2"
"Desonide 0.05% Cream","2"
"Foradil Aerolizer","2"
"Triamterene","2"
"Namenda","2"
"Desipramine","2"
"Pentamidine-Inhalation","2"
"Droperidol","2"
"*NF* Levalbuterol Soln","2"
"Bicalutamide","2"
"Trifluoperazine HCl","2"
"Clevidipine","2"
"Trintellix","2"
"Tropicamide 1 %","2"
"sodium chloride","2"
"Pentoxifylline","2"
"Sodium Chloride ","2"
"NYSTATIN ORAL SUSPENSION","2"
"Albumin, Human","2"
"Peripheral Nerve Infusion Bag","2"
"Heparin (1000 Units / 500 mL)","2"
"Bethanechol","2"
"Betaxolol Ophth Susp  0.25%","2"
"Betamethasone Valerate 0.1% Ointment","2"
"Betamethasone Valerate 0.1% Cream","2"
"Albumin 5","2"
"Hepatitis B Vaccine","2"
"ofloxacin","2"
"Fluvoxamine Maleate","2"
"Benzoyl Peroxide Gel 10%","2"
"benzonatate","2"
"benzon","2"
"Insulin Pump (Self Administering Medication)","2"
"Viaflex Bag","2"
"vancomycin","2"
"benz","2"
"Midodrine 20 mg","2"
"ZYRtec","2"
"Phenazopyridine HCl","2"
"Dornase Alfa","2"
"Propafenone HCl","2"
"Sorbitol","2"
"Benazepril","2"
"Spiriva Respimat","2"
"Vemlidy","2"
"Fluorouracil","2"
"Chlorpheniramine Maleate","2"
"Propofol 1000mg/100mL 100mL VIAL","2"
"lactobacillus acidophilus","2"
"LaMIVudine-Zidovudine (Combivir)","2"
"Belladonna & Opium (16.2/30mg)","2"
"Stiolto Respimat","2"
"Femara","2"
"Chlordiazepoxide HCl","2"
"Propranolol HCl","2"
"Lantus","2"
"ChlordiazePOXIDE","2"
"Chantix Continuing Month Box","2"
"Sugammadex","2"
"Verapamil HCl","2"
"Chantix","2"
"balsalazide","2"
"Fluocinonide 0.05% Cream","2"
"Neomycin Sulfate","2"
"GELCLAIR","2"
"Decitabine","2"
"Gefitinib","2"
"Ketoconazole Shampoo","2"
"Lotemax","2"
"DAUNOrubicin","2"
"Methylprednisolone Na Succ","2"
"Ketamine (For Intubation)","2"
"maal","2"
"mult","2"
"Opium Tincture (morphine 10 mg/mL)","2"
"Pyrimethamine","2"
"Phenylephrine  0.5% Nasal Spray","2"
"Nevirapine","2"
"Divalproex Sodium","2"
"Phenylephrine 2.5 % Ophth Soln","2"
"INV-Crizotinib","2"
"Phenytoin ","2"
"Isosorbide Dinitrate ER","2"
"LeVETiracetam Solution","2"
"quiniDINE Sulfate","2"
"Exemestane","2"
"acyclovir","2"
"exemestane","2"
"Isosorbide ","2"
"Iressa","2"
"ipratropium bromide","2"
"Osimertinib","2"
"Phenytoin Sodium (IV)","2"
"raloxifene","2"
"Niacinamide","2"
"Exelon","1"
"Ethanol 70% Catheter DWELL","1"
"Ethacrynic Acid","1"
"Ethacrynate Sodium","1"
"etanercept","1"
"estradiol/progesterone/testosterone","1"
"Estradiol Transdermal Patch","1"
"Estraderm","1"
"esomeprazole magnesium (nexium)","1"
"Esomeprazole Magnesium","1"
"Nitroglycerin Ointment 0.2%","1"
"Esbriet (pirfenidone","1"
"Nitroglycerin SR","1"
"Esbriet","1"
"NORepinephri 8mg/250mL 250mL BAG","1"
"Ergotamine-Caffeine","1"
"EPINEPHrine (for dilution)","1"
"Enoxaparin","1"
"NS (Glass Bottle)","1"
"Enoxapari","1"
"Enfuvirtide","1"
"encorafenib","1"
"Emtricitabine Oral Solution","1"
"Emla Cream","1"
"Nysta","1"
"nystatin","1"
"eltrombopag","1"
"Edoxaban","1"
"Nystatin-Triamcinolone Ointment","1"
"Dutasteride","1"
"dutasteride","1"
"doxylamine succinate","1"
"Ocuvite","1"
"dorzolamide-timolol (PF)","1"
"Dorzolamide-Timolol","1"
"dorzolamide-timoloL","1"
"dorzolamide","1"
"Olmesartan","1"
"omeprazole","1"
"dornase alfa","1"
"omeprazole-sodium bicarbonate","1"
"omeprazole magnesium","1"
"Omeprazole Magnesium","1"
"Ondan","1"
"Ondanset","1"
"Donnatal","1"
"docusate sodium","1"
"Docusate Sodiu","1"
"Divalproex Sodium ER","1"
"Divalproex ","1"
"Disulfiram","1"
"Disopyramide Phosphate","1"
"Osimertinib (Tagrisso)","1"
"Osimertinib (TAGRISSO)","1"
"osimertinib + gefitinib","1"
"OXALIplatin Desensitization","1"
"Disopyramide CR","1"
"Dipyridamole","1"
"Dimethyl Sulfoxide","1"
"oxyCODONE","1"
"OxyCODONE","1"
"diltiaz","1"
"Dilt","1"
"Oxycodone-Acetaminophen ","1"
"dilt","1"
"Digoxin Immune Fab","1"
"OxycoDONE ","1"
"Didanosine EC","1"
"DiCLOXacillin","1"
"diclofenac ","1"
"diclofenac-misoprostol","1"
"Dibucaine","1"
"Dextrose 20% in Water (D20W)","1"
"Paclitaxel","1"
"PACLItaxel-Protein Bound (Abraxane)","1"
"Dextromethorphan HBr 30mg/15ml","1"
"PALIperidone ER","1"
"palonosetron","1"
"Dextroamphetamine","1"
"Pancrelipase 4500","1"
"Dextran 40 10%","1"
"Pant","1"
"Dexamethasone Ophthalmic Susp 0.1%","1"
"dexamethasone","1"
"Dexamethason","1"
"Papain 2.5 % Solution","1"
"Dexamethaso","1"
"Dexameth","1"
"Paxil CR","1"
"pegfilgrastim","1"
"Dexame","1"
"PEMBROlizumab Desensitization","1"
"Desmopressin Nasal","1"
"Desitin","1"
"pentosan polysulfate sodium","1"
"Pepcid Complete","1"
"permethrin","1"
"Permethrin","1"
"Descovy","1"
"PFNS (Syringe)","1"
"Dermoplast Spray","1"
"Demeclocycline","1"
"Voltaren","1"
"Phenelzine Sulfate","1"
"PHENO","1"
"PHENOba","1"
"Phenobar","1"
"demeclocycline","1"
"PHENObarbital-ICU Alcohol Withdrawal (Loading Dose 1) (IM) (FOR CLINICIAN USE)","1"
"PHENObarbital -  ICU Alcohol Withdrawal (Loading dose 2 and 3) FOR PHARMACY USE ONLY","1"
"PHENObarbital - ICU Alcohol Withdrawal (Loading Dose 1) ","1"
"PHENObarbital - ICU Alcohol Withdrawal (Loading dose 2 and 3)","1"
" Erlotinib","1"
"Dapagliflozin","1"
"PHENYLephrine","1"
"Dantrolene","1"
"PHENYLEPHrine (for 50mg/5mL VIAL","1"
"PHENYLEPHrine (for dilution)","1"
"dalteparin (porcine)","1"
"Dalteparin","1"
"Daliresp","1"
"dalfampridine 10 mg ","1"
"dalfampridine ","1"
"dalfampridine","1"
"Voltaren Arthritis Pain","1"
"Pilocarpine 1%","1"
"Pilocarpine 2%","1"
"ZZ* Cobimetinib","1"
"Dacomitinib","1"
"Dabrafenib 75mg","1"
"Dabrafenib *NF*","1"
"Accolate","1"
"Piroxicam","1"
"PleTAL","1"
"PNEUMOcocca","1"
"dabrafenib (Tafinlar)","1"
"dabrafenib","1"
"dabigatran etexilate","1"
"D5W (Excel)","1"
"cycloSPORINE","1"
"Polyvinyl Alcohol-Povidone","1"
"CycloPHOSphamide","1"
"potassiu","1"
"potassium","1"
"Potassium ","1"
"Culturelle","1"
"Crizotinib 250mg Caps","1"
"CoVID-19 Vaccine 1st Dose by Pharmacy","1"
"COVID-19 Vaccine (Janssen)","1"
"Cosy","1"
"Coreg","1"
"COQ10 200 mg liquid","1"
"CoQ10 (300mg)","1"
"Copper Chloride","1"
"potassium chlo","1"
"Copaxone","1"
"Concerta","1"
"combiv","1"
"Combi","1"
"Clorazepate Dipotassium","1"
"Povidone Iodine 1/2 Strength","1"
"pralsetinib","1"
"clofazimine (bulk)","1"
"Clobetasol Propionate 0.05% Gel","1"
"Clindamycin Phosphate","1"
"prednisoLONE acetate","1"
"PrednisoLONE Acetate 0.12% Ophth. Susp.","1"
"clindamycin phosphate","1"
"PrednisoLONE Oral Solution","1"
"predniSONE","1"
"Clindagel","1"
"Climara","1"
"Premarin","1"
"Prenatal Vitamins","1"
"PreserVision AREDS-2","1"
"Prevacid SoluTab","1"
"PriLOSEC","1"
"Primaquine Phosphate","1"
"Cladribine","1"
"Citrucel","1"
"Pristiq","1"
"ProAir HFA","1"
"Probenecid","1"
"Probiotic","1"
"Citracal Regular","1"
"Prochlorperazine Maleate","1"
"Profend","1"
"Promacta","1"
"Citracal + D","1"
"cilos","1"
"Proparacaine HCl 0.5% Opth.","1"
"Chloroprocaine 2% MPF","1"
"Protonix (Granules for DR Suspension)","1"
"cetir","1"
"Pseudoephedrine HCl","1"
"celecoxib","1"
"CeleBREX","1"
"Celebrex","1"
"vortioxetine","1"
"Pulmicort Flexhaler","1"
"CefTRIAXone Desensitization","1"
"Wal-Tussin DM","1"
"Ceftolozane-Tazobactam","1"
"abacavir-dolutegravir-lamivud (Triumeq)","1"
"Wellbutrin XL","1"
"CefTAZidime-Avibactam (Avycaz)","1"
"Catapres-TTS-3","1"
"Caspofungin *NF*","1"
"Casodex","1"
"quiniDINE Gluconate E.R.","1"
"Abacavir","1"
"Qvar","1"
"Carbidopa-Levodopa CR (50-200)","1"
"Radiagel","1"
"Carbidopa-Levodopa CR (25-100)","1"
"Carbidopa-Levodopa (25-250)","1"
"Carbidopa-Levodopa (25-100) ODT","1"
"CarBAMazepine Chewable Tabs","1"
"Carbamazepine Chewable Tabs","1"
"CarBAMazepine (Extended-Release)","1"
"Rasagiline","1"
"calcium ca","1"
"Rayos","1"
"Calcium 600 + D(3)","1"
"Calcitriol Oral Solution *NF*","1"
"Xanax XR 1mg ","1"
"Xeloda","1"
"Retevmo (selpercatinib)","1"
"CADD Cassette","1"
"cabozantinib","1"
"bupro","1"
"rilpivirine","1"
"RisperDAL Consta","1"
"buprenorphine HCL","1"
"buprenorphine HCl","1"
"Risperidone Long Acting Injection","1"
"2","1"
"Rituximab","1"
"RITUXimab","1"
"riTUXimab-abbs (Truxima)","1"
"rivaroxaban","1"
"Buprenorphine-Naloxone (8mg-2mg)","1"
"robi","1"
"Robinul","1"
"Rocklatan","1"
"Buprenorphine","1"
"roflumilast","1"
"Buprenex","1"
"Bupivacaine 0.2%","1"
"Ropinirole HCl","1"
"Bupivacaine 0.125%","1"
"Rosiglitazone Maleate","1"
"rosuvastatin","1"
"Bupivacaine ","1"
"Rufinamide","1"
"Bupivacaine","1"
"Bulk Chemical","1"
"Xopenex inhaler","1"
"Saliva Substitute","1"
"Budesonide Nasal Inhaler","1"
"Salonpas","1"
"Sancuso","1"
"Budesonide flexhaler (Pulmicort)","1"
"Savella (milnacipran)","1"
"Scopolamine Base","1"
"budesonide-formoterol","1"
"Selegiline HCl","1"
"selpercatinib","1"
"senna","1"
"brimonidine ophthalmic","1"
"brimonidine-timolol","1"
"Brigatinib","1"
"brigatinib","1"
"Sildenafil Citrate","1"
"Silver Nitrate Applicator","1"
"Breo Ellipta","1"
"simethicone","1"
"Bismuth Subsalicylate Chewable","1"
"Sodium","1"
"0.45 % Sodium Chloride","1"
"sodium bi","1"
"sodium bic","1"
"Sodium Bicarbonat 50mEq/50mL SYR","1"
"Sodium Bicarbonate 8.4% (Nephron)","1"
"bicalutamide","1"
"sodium chloride 0.9 % (flush)","1"
"Bevacizumab-awwb (Mvasi)","1"
"Bevacizumab","1"
"Betamethasone Dipro 0.05% Lot.","1"
"Betamethasone Dipro 0.05% Augmented Gel","1"
"Sodium Fluoride 1.1% (Dental Gel)","1"
"benzo","1"
"solifenacin","1"
"Benicar","1"
"Solution","1"
"Soma","1"
"sorafenib","1"
"Spiriva with HandiHaler","1"
"ben","1"
"Stavudine","1"
"Stiolto Respimat  (tiotropium-olodateroL) ","1"
"Stribild","1"
"Belladonna-Phenobarbital","1"
"sucralfate","1"
"Bariatric Multivitamins","1"
"Sulfacetamide-Prednisolone Ophth. Susp.","1"
"SulfADIAzine","1"
"Bacitracin-Polymyxin Ointment","1"
"B complex with C#20-folic acid","1"
"Azopt","1"
"sulfamethoxazole-trimethoprim","1"
"Avodart (dutasteride)","1"
"*NF* Rasburicase","1"
"Aveeno Intense Relief","1"
"sumatriptan","1"
"Aveeno Bath","1"
"Augmentin Suspension","1"
"Atezolizumab","1"
"Atacand","1"
"Astelin","1"
"aspirin","1"
"zaleplon","1"
"Syringe (Intraperitoneal)","1"
"Aspercreme ","1"
"Syringe (Intrathecal)","1"
"Ascorbic Acid (Liquid)","1"
"Syringe (LR)","1"
"Artificial Saliva","1"
"Aromasin","1"
"Arnuity Ellipta","1"
"Armour Thyroid","1"
"Systane","1"
"Systane Nighttime (white petrolatum-mineral oiL)","1"
"Tabrecta (Capmatinib)","1"
"arformoteroL 15 mcg/2 mL","1"
"Tacrolimus Suspension","1"
"tadalafil","1"
"tadalafil 20mg","1"
"Tafinlar","1"
"arformoteroL","1"
"Tagrisso (osimertinib)","1"
"Tagrisso (Osimertinib)","1"
"Tagrisso (Osimetrinib)","1"
"Arava","1"
"Aquapho","1"
"aprepitant","1"
"Anoro Ellipta 62.5/25","1"
"Tarceva (erlotinib)","1"
"Tegretol","1"
"Telavancin *NF*","1"
"Anoro Ellipta (62.5mcg/25mcg)","1"
"Temozolomide","1"
"Anoro Ellipta  (umeclidinium-vilanteroL)","1"
"tenofovir disoproxil fumarate","1"
"AndroGel","1"
"Anamorelin HCl","1"
"Terbutaline Sulfate","1"
"Terconazole 0.4% Vag. Cream","1"
"Terconazole 80mg Vag. Supp","1"
"tes","1"
"Tessalon ","1"
"Testosterone Cypionate","1"
"Testosterone Gel 1%","1"
"Tetracaine HCl","1"
"Theophylline","1"
"Theophylline (Oral Solution)","1"
"Anamorelin  ","1"
"Thiotepa","1"
"Zidovudine","1"
"Tiagabine","1"
"Aminocaproic Acid 25 % Oral Rinse","1"
"Tigecycline","1"
"timolol","1"
"timolol maleate","1"
"Aminocaproic","1"
"aMILoride","1"
"Tirofiban","1"
"Ambrisentan","1"
"ambrisentan","1"
"Ziextenzo","1"
"Tobramycin 0.3% Ophth Ointment","1"
"Amaryl","1"
"tobramycin with nebulizer","1"
"tofacitinib ER (Xeljanz)","1"
"Amantadine","1"
"*NF* Ranolazine ER","1"
"Toprol XL","1"
"Altepla","1"
"Toviaz","1"
"Aliskiren","1"
"alirocumab","1"
"tramadol","1"
"Align","1"
"alfuzosin ER 10 mg ","1"
"Trametinib *NF*","1"
"Trametinib 2mg","1"
"alectinib (Alecensa)","1"
"Travatan","1"
"TRAVATAN Z","1"
"travoprost","1"
"Alectinib ","1"
"Alectinib","1"
"Alecensa (alectinib)","1"
"Ziprasidone","1"
"Tretinoin 0.05% Cream","1"
"Tretinoin 0.1% Cream","1"
"Triamcinolone Acetonide","1"
"Aldesleukin","1"
"ZZ* Ipatasertib","1"
"Albuterol Sulfate (Extended Release)","1"
"Albuterol Sulfate","1"
"Triamcinolone Acetonide Inj","1"
"Albuterol Inhaler (ProAir)","1"
"Triamterene-Hydrochlorothiazid","1"
"Albuterol 0.5%","1"
"Triamterene-Hydrochlorothiazide (37.5/25)","1"
"albutero","1"
"Trileptal","1"
"trospium","1"
"Trulicity","1"
"*NF* Fluticasone Propionate","1"
"albuter","1"
"Tudorza (aclidinium bromide)","1"
"umeclidinium","1"
"*NF* Erlotinib 150mg tab","1"
"Albumin 5% (","1"
"umeclidinium-vilanteroL 62.5-25 mcg/actuation ","1"
"ursodioL","1"
"Valacyclovir","1"
"Albumin 25% ","1"
"*NF* Bicalutamide","1"
"Valium","1"
"Albumin ","1"
"albu","1"
"AH Topical Gel","1"
"Valtrex","1"
"Afatinib","1"
"afatinib","1"
"Advair HFA 115/21","1"
"Advair HFA","1"
"varenicline","1"
"adva","1"
"Vasopressin (for dilution)","1"
"Adcirca","1"
"vemurafenib","1"
"Venetoclax","1"
"LaMICtal XR","1"
"Lactase Enzyme","1"
"Lactaid","1"
"lansoprazole","1"
"Lacosamide *NF*","1"
"Lanthanum","1"
"Lantus Solostar","1"
"Lantus U-100 Insulin","1"
"latanoprost","1"
"LACOSamide - STAT Dose","1"
"Ledipasvir/Sofosbuvir","1"
"ketorolac","1"
"Leflunomide","1"
"lenalidomide","1"
"LENALIDOMIDE","1"
"Lepirudin","1"
"Acyclovir Sodium","1"
"ketamine 5%- gabapentin 10%-lidocaine 6%-amitripline 2%","1"
"Levalbuterol","1"
"levalbuterol HCl","1"
"levalbuterol neb","1"
"Keppra XR","1"
"levalbuterol tartrate","1"
"Levalbuterol Tartrate","1"
"Levemir","1"
"Kcentra*","1"
"Juluca","1"
"Januvia","1"
"Itraconazole","1"
"Isosorbide Dinitrate SA","1"
"Levobunolol","1"
"Levobunolol 0.25%","1"
"Levocarnitine","1"
"Lexapro","1"
"lido","1"
"Lidoc","1"
"lidocaine","1"
"Acular","1"
"IPRATROPIUM-ALBUTEROL INHALATION SPRAY","1"
"ipr","1"
"Lidocaine (Bulk)","1"
"INV Dalteparin","1"
"INV dalteparin","1"
"INV-Osimertinib","1"
"INV-Hydrocortisone","1"
"INV-Gefitinib","1"
"Lidocaine 1% PF","1"
"INV-Erlotinib","1"
"INV-Dalteparin","1"
"INV-Ascorbic Acid","1"
"INV-Acetaminophen ","1"
"Lidocaine 2%/Epinephrine","1"
"INV","1"
"Intrathecal Pump","1"
"Intal (cromolyn) MDI","1"
"Insulin Syringe U-500","1"
"Insulin Regular Human (U-500)","1"
"Insulin Reg Human (NovoLIN R)","1"
"Lidocaine Viscous","1"
"linaclotide","1"
"linaCLOtide","1"
"Insulin Pump","1"
"Insulin novolog","1"
"Lisdexamfetamine (Vyvanse)","1"
"insulin glargine","1"
"Insulin Aspart *NF* (for Insulin PUMP)","1"
"loper","1"
"Influen","1"
"InFLIXimab-abda (Renflexis)","1"
"Actonel","1"
"Lopinavir-Ritonavir","1"
"InFLIXimab","1"
"lorazepam","1"
"Indigotindisulfonate Sodium","1"
"Indapamide","1"
"Lorazepam Topical (C-AH)","1"
"lorlatinib","1"
"Incruse Ellipta 62.5mcg","1"
"loteprednol etabonate","1"
"Loteprednol Etabonate","1"
"Incruse Ellipta (umeclidinium)","1"
"imiquimod","1"
"Ifosfamide","1"
"Lunesta","1"
"Lurbinectedin","1"
"Icy Hot Pain Relieving","1"
"Ibrutinib","1"
"ibrutinib","1"
"Hyoscyamine SO4 (Time Release)","1"
"Hydroxypropyl Methylcellulose","1"
"HYDROmorphone Infusion – Comfort Care Guidelines","1"
"HYDROmorphone ","1"
"hydromorphone-bupiv-NaCL (PF)","1"
"hydrogen peroxide","1"
"mannitol 20 %","1"
"mannitoL 20 %","1"
"Hydrocortisone Val. Cream 0.2%","1"
"Medium Chain Triglycerides","1"
"Hydrocortisone Na Succinate","1"
"megestrol","1"
"Hydrocortisone Na Succ","1"
"Mekinist","1"
"Meloxicam","1"
"Hydrocortisone Acetate Ointment 1%","1"
"Aciphex","1"
"Meningococcal Group B Vaccine (Trumenba)","1"
"hydrocodone-homatropine","1"
"hydrocodone-chlorpheniramine","1"
"Meropenem Graded Challenge","1"
"Humalog","1"
"Hepatitis B Vaccine (Engerix-B 20 mcg/mL)","1"
"Hepatitis B Vaccine (20 mcg/mL)","1"
"Mesalamine Enema","1"
"metaxalone","1"
"Hepatitis A Vaccine","1"
"Heparin Lock Flush","1"
"methadon","1"
"methadone","1"
"Heparin Flush Hickman (100 units/ml)","1"
"Methadone ","1"
"Heparin Flush CRRT (5000 Units/mL)","1"
"Heparin Flush (100 units/mL)","1"
"Methadone PCA","1"
"Viibryd (Vilazodone)","1"
"Methotrexate Sodium","1"
"vilazodone","1"
"Methylene Blue","1"
"Heparin ","1"
"heparin","1"
"hepar","1"
"Haloperidol TOPICAL GEL (C-AH)","1"
"haloperidol lactate","1"
"MethylPREDNISolone Sod Succ ","1"
"Haloperidol Decanoate","1"
"Haloperidol (Bulk)","1"
"metoLAZOne","1"
"haloperidol ","1"
"Gummi Bear Multivitamin","1"
"metoprolol tartrate","1"
"guaif","1"
"GlycoLax","1"
"Glimepiride","1"
"Gleevec","1"
"metyrapone","1"
"Genvoya","1"
"Gentamicin 0.3% Ophth. Ointment","1"
"Acetylcysteine ","1"
"Gentamicin - Dosing by pharmacy","1"
"gentamicin","1"
"Genotropin Miniquick","1"
"Midodrine 20mg","1"
"Milrinone Lactate","1"
"Ganciclovir 0.15% Ophth Gel","1"
"Ganciclovir","1"
"Minocycline 100mg tablets","1"
"Acetylcystein","1"
"mira","1"
"mirabegron (Myrbetriq","1"
"Gamunex/GammaKED 10%","1"
"Misoprostol","1"
"modaf","1"
"galantamine","1"
"mometasone furoate cream 0.1%","1"
"gabapentin","1"
